Actual_Result,Predicted_Label,Win_Probability,Is_Correct,Deck_A_Predicting,Deck_B_Opponent,Confidence
0.0,0,0.0003,True,"[21, 25, 27, 42, 46, 55, 62, 106]","[10, 11, 29, 39, 94, 98, 106, 119]",0.9994
1.0,0,0.0003,False,"[4, 36, 42, 46, 50, 62, 98, 106]","[10, 11, 30, 31, 58, 62, 85, 102]",0.9994
0.0,0,0.0003,True,"[5, 23, 50, 54, 81, 87, 105, 113]","[10, 11, 15, 21, 71, 74, 103, 119]",0.9994
0.0,0,0.0003,True,"[4, 36, 42, 46, 50, 62, 98, 106]","[10, 11, 30, 31, 58, 62, 85, 102]",0.9994
0.0,0,0.0003,True,"[56, 68, 74, 83, 86, 95, 105, 109]","[5, 12, 14, 26, 33, 60, 98, 106]",0.9994
0.0,0,0.0003,True,"[17, 20, 27, 36, 50, 73, 113, 120]","[10, 11, 15, 21, 71, 74, 103, 119]",0.9994
1.0,1,0.9997,True,"[5, 16, 46, 55, 58, 69, 99, 106]","[0, 10, 13, 74, 91, 93, 101, 109]",0.9994
0.0,0,0.0004,True,"[12, 32, 45, 48, 66, 71, 100, 118]","[34, 37, 70, 75, 86, 105, 110, 113]",0.9992
1.0,1,0.9996,True,"[1, 3, 5, 8, 34, 99, 108, 115]","[10, 11, 17, 30, 31, 74, 92, 93]",0.9992
1.0,1,0.9996,True,"[2, 5, 53, 54, 56, 87, 98, 113]","[3, 7, 27, 37, 61, 98, 99, 108]",0.9992
1.0,1,0.9996,True,"[31, 37, 70, 75, 96, 105, 110, 113]","[3, 13, 16, 27, 39, 98, 100, 106]",0.9992
0.0,0,0.0004,True,"[9, 11, 15, 18, 42, 76, 98, 99]","[0, 10, 13, 31, 85, 97, 101, 115]",0.9992
1.0,1,0.9996,True,"[0, 10, 23, 91, 93, 101, 113, 115]","[10, 30, 32, 49, 65, 91, 107, 109]",0.9992
0.0,0,0.0004,True,"[0, 10, 31, 78, 85, 97, 107, 109]","[2, 50, 51, 55, 95, 98, 106, 119]",0.9992
1.0,0,0.0004,False,"[11, 12, 40, 46, 55, 56, 91, 102]","[10, 11, 30, 31, 58, 62, 85, 102]",0.9992
0.0,1,0.9996,False,"[3, 16, 27, 32, 63, 76, 98, 106]","[3, 17, 18, 33, 99, 106, 110, 114]",0.9992
1.0,0,0.0004,False,"[10, 50, 53, 56, 58, 62, 101, 109]","[0, 13, 15, 34, 75, 86, 105, 110]",0.9992
1.0,0,0.0004,False,"[3, 5, 12, 46, 55, 64, 98, 106]","[10, 30, 32, 58, 62, 85, 110, 113]",0.9992
0.0,0,0.0004,True,"[13, 34, 39, 75, 76, 96, 105, 110]","[2, 50, 51, 55, 95, 98, 106, 119]",0.9992
1.0,0,0.0005,False,"[3, 17, 18, 33, 99, 106, 110, 114]","[3, 16, 27, 32, 63, 76, 98, 106]",0.999
0.0,0,0.0005,True,"[10, 45, 50, 51, 84, 105, 113, 115]","[0, 10, 13, 31, 85, 97, 101, 115]",0.999
0.0,0,0.0005,True,"[0, 12, 22, 32, 58, 62, 88, 109]","[10, 50, 59, 62, 74, 86, 98, 113]",0.999
0.0,0,0.0005,True,"[0, 10, 62, 78, 89, 97, 109, 110]","[10, 11, 29, 39, 94, 98, 106, 119]",0.999
0.0,0,0.0005,True,"[0, 10, 62, 78, 89, 97, 109, 110]","[10, 11, 29, 39, 94, 98, 106, 119]",0.999
0.0,0,0.0005,True,"[13, 25, 31, 70, 91, 97, 107, 115]","[10, 50, 59, 62, 74, 86, 98, 113]",0.999
0.0,0,0.0005,True,"[13, 25, 31, 70, 91, 97, 107, 115]","[10, 50, 59, 62, 74, 86, 98, 113]",0.999
0.0,0,0.0005,True,"[10, 14, 21, 30, 38, 85, 98, 109]","[10, 31, 78, 81, 85, 97, 107, 109]",0.999
0.0,0,0.0005,True,"[10, 14, 21, 30, 38, 85, 98, 109]","[10, 31, 78, 81, 85, 97, 107, 109]",0.999
0.0,0,0.0005,True,"[9, 15, 39, 48, 96, 105, 110, 113]","[1, 3, 5, 27, 78, 99, 108, 115]",0.999
0.0,0,0.0005,True,"[2, 40, 50, 53, 56, 80, 101, 109]","[0, 10, 62, 78, 89, 97, 109, 110]",0.999
1.0,0,0.0005,False,"[47, 52, 57, 59, 70, 96, 98, 113]","[35, 50, 51, 52, 62, 98, 113, 114]",0.999
0.0,0,0.0005,True,"[2, 5, 28, 50, 59, 98, 113, 114]","[10, 65, 78, 85, 97, 101, 115, 116]",0.999
0.0,0,0.0005,True,"[8, 29, 32, 39, 57, 94, 106, 118]","[2, 5, 53, 54, 56, 87, 98, 113]",0.999
1.0,1,0.9995,True,"[10, 32, 62, 78, 82, 85, 109, 110]","[0, 10, 31, 78, 85, 97, 107, 109]",0.99899995
0.0,1,0.9995,False,"[10, 11, 30, 31, 58, 62, 85, 102]","[11, 12, 40, 46, 55, 56, 91, 102]",0.99899995
1.0,1,0.9995,True,"[2, 17, 50, 59, 74, 86, 105, 113]","[11, 26, 30, 41, 85, 101, 102, 109]",0.99899995
1.0,1,0.9995,True,"[10, 32, 62, 78, 82, 85, 109, 110]","[0, 10, 31, 78, 85, 97, 107, 109]",0.99899995
1.0,1,0.9995,True,"[10, 11, 15, 21, 71, 74, 103, 119]","[5, 23, 50, 54, 81, 87, 105, 113]",0.99899995
1.0,1,0.9994,True,"[34, 37, 70, 75, 86, 105, 110, 113]","[12, 32, 45, 48, 66, 71, 100, 118]",0.99880004
1.0,1,0.9994,True,"[0, 15, 34, 75, 96, 105, 110, 113]","[2, 6, 17, 20, 32, 49, 61, 115]",0.99880004
1.0,1,0.9994,True,"[18, 21, 31, 38, 49, 95, 101, 109]","[34, 37, 45, 52, 70, 103, 108, 110]",0.99880004
1.0,1,0.9994,True,"[3, 5, 7, 18, 34, 99, 108, 115]","[0, 13, 34, 62, 88, 97, 110, 116]",0.99880004
1.0,1,0.9994,True,"[2, 15, 27, 29, 32, 37, 98, 106]","[10, 31, 32, 49, 58, 62, 89, 109]",0.99880004
1.0,1,0.9994,True,"[2, 50, 51, 55, 95, 98, 106, 119]","[13, 34, 39, 75, 76, 96, 105, 110]",0.99880004
1.0,1,0.9994,True,"[10, 11, 29, 39, 94, 98, 106, 119]","[21, 25, 27, 42, 46, 55, 62, 106]",0.99880004
1.0,1,0.9994,True,"[10, 11, 30, 86, 95, 107, 108, 113]","[14, 25, 46, 54, 55, 95, 106, 113]",0.99880004
1.0,1,0.9994,True,"[2, 15, 27, 29, 32, 37, 98, 106]","[10, 31, 32, 49, 58, 62, 89, 109]",0.99880004
0.0,1,0.9994,False,"[10, 30, 32, 58, 62, 85, 110, 113]","[3, 5, 12, 46, 55, 64, 98, 106]",0.99880004
1.0,0,0.0006,False,"[2, 6, 11, 29, 32, 37, 39, 99]","[2, 40, 50, 53, 56, 80, 101, 109]",0.9988
1.0,0,0.0006,False,"[2, 6, 11, 29, 32, 37, 39, 99]","[2, 40, 50, 53, 56, 80, 101, 109]",0.9988
0.0,0,0.0006,True,"[0, 15, 23, 94, 107, 108, 110, 113]","[50, 51, 55, 62, 98, 106, 113, 119]",0.9988
0.0,0,0.0006,True,"[4, 27, 36, 42, 46, 62, 98, 106]","[0, 15, 23, 94, 107, 108, 110, 113]",0.9988
0.0,0,0.0006,True,"[2, 11, 19, 20, 22, 41, 95, 103]","[0, 30, 32, 58, 62, 85, 110, 116]",0.9988
1.0,0,0.0006,False,"[0, 10, 23, 91, 93, 101, 113, 115]","[13, 34, 47, 73, 75, 85, 99, 110]",0.9988
1.0,1,0.9993,True,"[10, 65, 78, 85, 97, 101, 115, 116]","[2, 5, 28, 50, 59, 98, 113, 114]",0.9986
0.0,0,0.0007,True,"[10, 15, 32, 62, 82, 85, 110, 113]","[3, 6, 7, 18, 39, 89, 99, 100]",0.9986
0.0,0,0.0007,True,"[0, 18, 45, 62, 64, 70, 73, 108]","[0, 10, 31, 78, 85, 97, 107, 115]",0.9986
0.0,0,0.0007,True,"[24, 25, 44, 61, 71, 74, 100, 109]","[0, 6, 32, 49, 55, 99, 106, 119]",0.9986
0.0,1,0.9993,False,"[8, 29, 32, 57, 76, 94, 106, 118]","[0, 10, 31, 62, 85, 97, 107, 115]",0.9986
0.0,0,0.0007,True,"[4, 15, 27, 42, 51, 98, 113, 115]","[2, 50, 53, 56, 62, 80, 98, 109]",0.9986
